id,content_anonymized,3.5 Flash,3.1 Pro,GPT5.5_Medium
4460,Tấn Khánh kkk mà chưa thèng nào lấy vợ cả kkk,2,2,1.0
4461,[NAME] [NAME] chắc phòng thủy phòng mình ở ko tốt hay sao á kkk,2,2,1.0
4462,[NAME]' 400k thi' chi? co' the' thoi ban. muon' ngon thi' ra cho~ khac' di,2,2,2.0
4463,"Teddy Pham chứ thầy cô dạy bạn nói ng khác đần rồi tỏ ra đẳng cấp thượng đẳng hả. [NAME] đi 🙂hạ người ta xuống chi, làm vậy thấy thấp kém hạ đẳng thêm. Cứ tưởng là hay lắm",0,0,2.0
4464,[NAME] em nói ít thôi anh cũng thấy như vậy =)),1,1,1.0
4465,[NAME] có ý thức sống tập thể không?,1,1,1.0
4466,[NAME] phòng bao nhiêu cũng thế. miễn là bạn có cái thứ gọi là ý thức thôi ạ,1,1,1.0
4467,"Tran Huynh đúng rồi bạn, sống trong môi trường tập thể thì phải có ý thức, nhưng chỉ một mình bạn ý thức thôi thì không đủ...",1,1,1.0
4468,[NAME] 400 là làm gì cũng được hả ??,1,1,1.0
4469,"Thay' noi' la' dang phai? ro~ rang' len, noi' chung chung vay. thay' khong biet' ai lam' on' de? ma' phat :[NAME]",1,1,1.0
4470,[NAME] bạn ơi cho mình gửi chứ mình không hiểu bạn đang nói tiếng gì 🙂,1,1,0.0
4471,[NAME] minh' tom' tat' cho ban hieu? nha,1,1,1.0
4472,"Kim [NAME] Ý của mình muốn nói với các bạn là 400k thì chỉ có ở ktx thôi, nếu bạn tìm được chỗ khác xịn hơn thì có thể tới đó ở. [NAME] đa dạng kiểu người lắm, mình có ý thức nhưng có thể người khác không có ý thức, cho nên là:
Một là mình nhắc nhở họ đừng ồn.
Hai là mình nói thầy thầy lên nhắc nhở họ, đừng có sợ, không ai dám làm gì mình đâu. Cảm ơn Ngân đã góp ý cho mình nhé!",1,1,2.0
4473,[NAME] có nhắc cũng vậy à bạn đây là câu chuyện ngày lập qua ngày thôi. Có lần này sẽ có lần khác,1,1,1.0
4474,"[NAME] nhà nguyên căn cỡ 2tr, điện nước wifi free, rủ thêm bạn ở cho đỡ ồn bạn ạ",1,1,1.0
4475,"[NAME] bạn ơi chúng ta sinh viên đại học rồi cũng nên biết phân biệt đúng sai nhé.
[NAME] tôi sai. [NAME] khi khó chịu với những bạn cứ canh giờ nghỉ ngơi là giã cối, giã chày, giã tiêu. Sai với những bạn dẫn bồ về phòng hành sự.
Sai khi dùng 12 năm đèn sách học tại trường bắt bẻ ngôn ngữ của bạn.",1,1,1.0
4476,Ở trọ gần tui là dọn trọ khác ở ngay :))),2,2,1.0
4477,Thay phiên nhau giã chứ 1 người sao giã 30p nổi 😂,2,2,1.0
4478,[NAME] đang ngủ t tưởng ma nhát thức dậy đọc kinh ai ngờ nó tập thể dục,1,1,1.0
4479,"Ngày xưa 1 cối 1 chày, ngày nay 1 cối nhiều chày giã chung. Ngày xưa cối nhỏ chày to, ngày nay cải tiến cối to hơn chày. Xin mời quý vị thưởng thức một sáng tác của Nhạc sĩ Xuân Hồng, nhạc phẩm TIẾNG CHÀY [NAME]..",1,1,1.0
4480,[NAME] nghe quài tiền đình luon thầy ơi,1,1,1.0
4481,[NAME] nằm nghe sóng vỗ từng lớp xa...nghe ghiền lun kkk,2,2,1.0
4482,[NAME] mai live hát bài này nhé thầy 😂,2,2,1.0
4483,[NAME] thầy hơi ẩu rồi đó 😂,2,2,1.0
4484,Hôm nay thứ hai 22/5 SV nào để quên áo khoác phòng G206 liên lạc thầy nhận lại nhé! SV dntu chia sẽ dùm thầy. Thanks các em.,1,1,1.0
4485,[NAME] bọn nó giã nhau hay giã tiêu 🙃,1,1,1.0
4486,[NAME] ở đây giã tiêu để ướp nhau à. 😑,1,1,1.0
4488,Nhanh trí vác chày qua giã chung luôn,1,1,1.0
4489,Chỉ là đang góp gạo thổi cơm chung thôi mà. 3 giờ sáng ai mà chả đói 🥹🥹,1,1,1.0
4490,Vấn đề muôn thuở của ktx =))). Nói hoài cũng không khá khẩm hơn được đâu 🥹🥹,1,1,1.0
4491,[NAME] nằm phòng sát bên mà nghe tiếng nhịp giường là ứa chịu dc r😐.. Trong khi mình năm 3 r ko có😒.. Tụi nó ms năm 1-2.. Tối còn rượt nhau chạy khắp ktx nữa chứ 😥🤧🤧,1,1,0.0
4492,[NAME] gia ma dien cung dc o ktx,1,1,1.0
4494,Lên nóc ở là ok nhất nha :)),2,2,1.0
4495,[NAME] hmm nghe giã chày 30p thì cx ghia ghúm tht có xí tiu mà lâu la quá,0,0,1.0
4496,[NAME] dì thấy ghê dị sức trâu dị ta,1,1,1.0
4497,[NAME] thì ai bik đc ch do tiu hơi to xí á :)))),2,2,1.0
4498,[NAME] t muốn mua chổ bán tiêu kk,1,1,1.0
4499,[NAME] hmm thì ra chỗ cầu hang á quá tr,1,1,1.0
4500,Tiền ít đòi hít *** thơm🤣 có 400k đòi hỏi gì ở đây dọn ra trọ mà ở cho yên tĩnh,1,1,1.0
4501,Phương Trang bạn này nói chuẩn quá chúc bạn thi đậu các môn,1,1,2.0
4502,Phương Trang chuẩn nhỉ muốn yên tĩnh thì thuê nhà riêng 😂,2,2,2.0
4503,ủa tưởng chỉ có trong phim thui chớ 🥲,1,1,0.0
4504,Yen [NAME] hình như là nay thầy lắp gạch lại mà,1,1,1.0
4505,"[NAME] tai sao vay ? , tai sao ma lam may cai tro do vay",1,1,1.0
4506,[NAME] ê ê hình tui ko phải muốn đưa lên là đưa đâu nha,1,1,1.0
4507,[NAME] ủa thấy wen wen zay,1,1,1.0
4508,"[NAME] minh cung tung ngoi uong cf nc voi nhau roi ma thay , thay khong nho luon ha , em buon thay qua",1,1,1.0
4509,[NAME] ko nhớ,1,1,1.0
4510,"Nào về nhà kiếm cái cây dài dài, ngồi giường trên cứ thế giã ngược lên trần lại 🤣 Bùi Nguyễn Huyền Trân",1,1,1.0
4511,Tui cx muốn nói z tui đc 15p nghỉ ngơi thôi mà nằm k thể nào ngủ đc,1,1,1.0
4512,"🥤☕ BCONS [NAME] COFFEE mới mở cần vài bạn sinh viên hoạt bát, nhanh nhẹn, ham học hỏi phục vụ bán Coffee và [NAME] 🧋
📌Mình cần 4 bạn - THÁI ĐỘ TỐT + Chịu Khó và lịch sự nhé:
Phục vụ bán đồ uống,
[NAME] tuổi: 18t - 20 tuổi
⏲️Thời gian: 16h-22h, mỗi tuần off 1 ngày tùy chọn.
💵 Tiền : 20-???/h tùy vào năng lực và thái độ sẽ được cân nhắc. Có kinh nghiệm pha chế và phục vụ sẽ là 1 lợi thế.
---> địa chỉ: [NAME] PS hotel, bệnh viện nhi chạy lên 1 xíu, gần cầu vượt amata.
( ĐÂY KHÔNG PHẢI [NAME], nên đừng lo nhé )
Ai có nhu cầu xin việc thì [NAME] nha 🍀",1,1,1.0
4513,Xưa ở KTX cũng y vậy. Sau ra trọ thoải mái hẳn. Nhưng hơi buồn 😂😂,1,1,1.0
4514,Vân Ái kí túc xá an ninh dữ lắm :)))),2,2,1.0
4515,"Thế bạn ngủ đâu có nghĩa người khác cũng phải ngủ =))
Đúng là phải có ý thức nhưng k bắt buộc💁🏻‍♂️",1,1,1.0
4516,[NAME] chắc bạn đó chưa nghe tiếng cường cười :))),2,2,1.0
4517,[NAME] đa dạng hoạt động dạ,1,1,1.0
4518,[NAME] làm j mang tiếng dữ vậy,1,1,1.0
4519,Ở tập thể thì phải chấp nhận thoii,1,1,1.0
4520,May là giã tiêu chứ bạch bạch bạch cả tiếng hk biết chịu nổi hk -.-,1,1,1.0
4521,Quốc Huy mớii đọc tưởng giã kiaaaa,1,1,1.0
4522,Nguyen [NAME] đâm mắm ak ba 😂,2,2,1.0
4523,[NAME] nghĩa đen lẫn nghĩa bóng luôn á trời 🥲 Kim Ngân Tiên Nguyễn Vũ Hạ Vy,1,1,0.0
4524,[NAME] mệch ng không có ý thức lắm :)),2,2,1.0
4525,[NAME] sao rẻ bằng ktx,1,1,1.0
4526,[NAME] 400k xài cả tháng,1,1,1.0
4527,[NAME] bài đăng này nhiều nghĩa quá 🙁,1,1,1.0
4531,"Gia Bảo m chứ ko ai hết, chính m :))",2,2,1.0
4532,Kim Ngân ủa có vụ này luôn hả 🫢,1,1,1.0
4533,[NAME] một câu chuyện dài 😞 ngồi 3 bữa cf chưa chắc kể hết,1,1,0.0
4534,[NAME] giống giọng m dợ,1,1,1.0
4535,[NAME] hả kkk 🤣 trên tầng t đang sữa nền gạch á chắc nhầm r trưa t mới thấy sữa🤣,2,2,1.0
4536,[NAME] hời ơi gì kì dã xã iu,1,1,1.0
4538,[NAME] m giập it thôi,1,1,1.0
4540,[NAME] ác ôn vùng nông thôn =)),1,1,1.0
4541,[NAME] hư quá 😁,2,2,1.0
4542,Tuan Anh Buổi trưa em ít ở phòng lắm thầy,1,1,1.0
4543,Quang Anh  phòng bro đúng k,1,1,1.0
4544,[NAME] bậy rồi:))),2,2,1.0
4546,Đào Thị Châm dạ em ở trọ :)(,1,1,1.0
4547,[NAME] chỗ m có ko,1,1,1.0
4548,"[NAME] có á m , nó giống như dc cài sẵn hay sao á tới h là giã à 🤣",1,1,1.0
4550,[NAME] tưởng giã tiêu là làm tiêu nó nhuyễn mà sao đọc cmt kì z 😥,1,1,0.0
4551,Nghĩa đen hay nghĩa bóng ạ ? Vụ giã chày gì đó,1,1,1.0
4552,Sao lại giã tiêu 30p nhỉ 3p là dc mà,1,1,1.0
4553,[NAME] là sao,1,1,1.0
4555,[NAME] 2 đứa bây chứ hog ai hết =))),1,1,1.0
4556,[NAME] ở đáy xã hội mà có gõ cũng k ai nghe kkkk,2,2,1.0
4557,Duy TháiBảo [NAME],1,1,1.0
4560,[NAME],1,1,1.0
4561,Chau [NAME],1,1,1.0
4562,Làm mình tưởng giã tiêu kia =)),1,1,1.0
4563,[NAME] quá tào laoooooo người ta giã nền nhà thây nền mà mấy bạn cứ tàooo laoooo,1,1,1.0
4564,[NAME]  gặp tôi giã cho mấy phát,1,1,1.0
4565,Luan [NAME] chắc tối người ta bận đi đứng nên ban ngày ngủ bù ông cố ơiiii,1,1,1.0
4566,[NAME] cuối cùng là giã tiêu nào v bạn,1,1,1.0
4567,Tú Trần mình cũng không biết giã tiêu như nào nữa giới trẻ giờ đa dạng ngôn ngữ quá bạn,1,1,1.0
4568,Bạn [NAME] có trong đó hay sử dụng dầu Neptune 🤣 để chơi trên giường ktx 😂,2,2,1.0
4569,[NAME] t còn ko biết có vụ giã cối nữa này . Có nghe j đâu .,1,1,1.0
4570,Tantai Nguyen thảo nào mấy nay m kêu bận hóa ra đi dầu ăn bạn kế bên phòng ktx 🤣,1,1,1.0
4571,Nam nữ riêng mà ta hay chơi gay🤔,1,1,1.0
4572,[NAME] t nghĩ đá trứng cút,1,1,1.0
4573,Qúi [NAME] mày giã gạo gì 3h vậy. Có cho ng khác ngủ ko fen😂,2,2,1.0
4574,Đào Tấn Hải thua t mà đc 3 tiếng là t thành thần đụ r,1,1,1.0
4575,Qúi [NAME] tập gym mà ko đc 3h à,1,1,1.0
4576,[NAME] ơi! [NAME] hỏi con bỏ học mấy năm mà năm nhất con nộp đc bằng cấp 3 khi nhập học vậy?,1,1,1.0
4577,Nguyen Cuong đồ này bê lâu quá a gì ơi 🤣🤣,0,0,1.0
4578,"[NAME] chưa tỉnh là chắc rồi, chắc đồ Mỹ",1,1,1.0
4579,Nguyen [NAME] tới h em cx chưa nộp cái nào lun thầy ạ kkk,2,2,1.0
4581,Nguyen Cuong để em đợi năm 4 em nộp lun ạ kkk,2,2,1.0
4582,"[NAME] tùy thôi. Để lại quên, coi mất bằng nha con",1,1,0.0
4583,Nguyen Cuong em mất bằng em sẽ đăng lên cfs kêu nhà trg quên bằng của em 😂😂,2,2,0.0
4584,[NAME] có con cá nhé,1,1,1.0
4585,[NAME] cựu sinh viên đọc bài này và ngán ngẫm luôn thầy,1,1,1.0
4586,[NAME] chán nó quá cô ơi.kakaa,0,0,1.0
4587,"Mình thì đã nộp sổ đoàn từ hồi nhập học, cái h kêu mình chưa nộp. Ủa?????",1,1,1.0
4588,[NAME] m đang cười trên nỗi đau ngkhac á 🙂,0,0,1.0
4589,[NAME] mình chưa nộp hihi,2,2,1.0
4590,"[NAME] v vẫn còn đỡ tức hơn là đã nộp rồi, mà kêu chưa nộp. [NAME] h lấy sổ đâu để nộp",1,1,1.0
4591,"🥤☕ BCONS [NAME] COFFEE mới mở cần vài bạn sinh viên hoạt bát, nhanh nhẹn, ham học hỏi phục vụ bán Coffee và [NAME] 🧋
📌Mình cần 4 bạn - THÁI ĐỘ TỐT + Chịu Khó và lịch sự nhé:
Phục vụ bán đồ uống,
[NAME] tuổi: 18t - 20 tuổi
⏲️Thời gian: 16h-22h, mỗi tuần off 1 ngày tùy chọn.
💵 Tiền : 20-???/h tùy vào năng lực và thái độ sẽ được cân nhắc. Có kinh nghiệm pha chế và phục vụ sẽ là 1 lợi thế.
---> địa chỉ: [NAME] PS hotel, bệnh viện nhi chạy lên 1 xíu, gần cầu vượt amata.
( ĐÂY KHÔNG PHẢI [NAME], nên đừng lo nhé )
Ai có nhu cầu xin việc thì [NAME] nha 🍀",1,1,1.0
4592,Phải tìm hiểu kĩ rồi mới lên confession đăng nha fen,1,1,1.0
4593,Thằng e cắn đồ nhiều quá đúng k =))) a nhớ khi đăng kí nhập học là đăng kí bằng [NAME] chứ có phải BẰNG [NAME] NGHIỆP đâu e lag cũng vừa phải thôi chớ lag nhiều quá lại giống bạn [NAME]  của a thì khổ e à,0,0,0.0
4594,"[NAME] nhầm tí, làm gì căn thế nhỉ =)))",1,1,1.0
4595,Nhất Duy bạn rủ rê mấy e cắn đồ ít th chứ bọn nó ngáo quá r :))),1,1,1.0
4596,"bằng tốt nghiệp c3 làm j mới năm nhất nhập học đã có b, cái b nộp lúc nhập học là tạm thời th,trg c3 có hẹn b thời gian lấy tn chính thức mà. Còn b muốn nộp tốt nghiệp c3 chính thức vào năm nhất sớm thì chắc tự in r nộp thì may ra🐧. Trường ko làm mất giấy tờ của b đâu.",2,2,0.0
4597,"Bình thường mà tui nộp hết giấy tờ thiếu mỗi [NAME] photo, hôm sau đem lên nộp bổ sung mấy cô kêu thiếu bằng tốt nghiệp photo 🙂",2,2,1.0
4598,"Tới năm 2 mới có bằng tốt nghiệp c3 bro ơi, cái bro nộp là giấy chứng nhận tốt nghiệp tạm thời :[NAME]",2,2,1.0
4599,[NAME] trc t nộp hẳn bản sao bìa đỏ cứng sau cũng mất tích mà đợt đó kêu méo kịp gửi từ bắc vô để nộp lại nên thôi chụp ảnh gửi vô :)),2,2,0.0
4600,[NAME]  tui đây nộp 2 lần vẫn báo chưa nộp,0,0,1.0
4601,"Ụa đầu năm là nộp bằng tốt nghiệp tạm thời mà má, lúc nhập học đã có bằng tốt nghiệp đâu mà nộp :)))",2,2,1.0
4602,Mới vô nhập học mà đã có bằng tn c3 r cơ à 🤣,1,1,1.0
4603,Đồ ngon quá my friend :))))) Thắng Đường,2,2,2.0
4605,[NAME] :))))) bê quá r,2,2,1.0
4606,"Lúc đó chỉ là giấy xác nhận tốt nghiệp thôi
Bản sao bằng tốt nghiệp là khác",2,2,1.0
4607,[NAME] nộp lần 3 luôn ấy :)),2,2,1.0
4608,"Hồi năm nhất làm gì có bằng cấp 3
Nó là bằng tạm thời thôi",1,1,1.0
4609,Rõ ràng nộp rồi mà ghi t không có :((  Huỳnh Đạt,1,1,0.0
4610,[NAME] Thy kkk hình như lúc bà có bị,2,2,1.0
4611,[NAME] tui vẫn còn chưa nộp lại luôn á bà kkk,2,2,1.0
4613,[NAME] vẫn ra trường đc mà lo gì kkk,2,2,1.0
4614,[NAME] Thy lúc đó tại dịch hoyy,1,1,1.0
4615,[NAME] m hả tuyên,1,1,1.0
4616,[NAME] đứa nào cũng v. T nộp năm nhất 2 bản gốc mộc lun nó cũng làm mất đc. [NAME] biết nó có ăn vào bụng ko,1,1,0.0
4618,"[NAME] trường bịp
May quá ra rồi 😎😆😆😆",0,0,1.0
4619,[NAME] tính nóng thế thầy,1,1,1.0
4621,[NAME] tao chả nhớ nữa hình như bản sao nộp r,1,1,1.0
4622,[NAME] có đứa cãi chem chép tui á bà nhớ hum,1,1,1.0
4623,[NAME]  hẳn bản gốc mà mất thì chết mất,1,1,0.0
4626,[NAME] c coi chừng é,1,1,1.0
4628,[NAME] vái trời con quỷ nhỏ kia mất 🥺🥺,1,1,0.0
4629,Hà Hương con đó mất chắc gòi,1,1,0.0
4630,Ngộ ghê  [NAME],1,1,1.0
4631,[NAME] làm mất của ngta mà còn nói giọng mẹ,1,1,0.0
4632,[NAME] khổ tâm,1,1,1.0
4633,"trường cấp 3 của bạn cũng dữ phết, vừa tốt nghiệp c3 đã có bằng liền luôn rồi à 😂",2,2,1.0
4634,[NAME] mấy bạn chưa hiểu cái bản sao bằng tốt nghiệp là gì thì bạn giải thích cho mấy bạn hiểu đê,2,2,2.0
4635,"Đăng lên đây làm j ko biết rồi để bị chửi vậy bạn, đúng là ko có cái ngu nào bằng cái ngu này 😅😅",0,0,0.0
4636,Kiều Trí [NAME] chắc bên in ấn 🤣🤣,1,1,1.0
4637,[NAME] chắc làm mất 1 cái bằng bản sao nên nghỉ trường lấy r🤣,1,1,0.0
4638,Cho xin inf bạn này với chắc chắn là 1 bạn xữ xinh gái hoặc 1 bạn nam r đtrai :)),2,2,1.0
4639,Qúi [NAME] đâu cũng có dấu răng ông dị,1,1,1.0
4640,[NAME] thằng tuấn mà hay dậy lắm,1,1,1.0
4641,Qúi Tuấn tui dc ko bn hiền 😁😁😁,2,2,1.0
4642,Qúi Tuấn gì cũng biết,1,1,1.0
4643,Mỹ Ngọc mỗi biết điều là k biết,1,1,1.0
4644,"Qúi [NAME] giỏi, 10 điểm",2,2,1.0
4646,[NAME] t biết m dtrai r,1,1,1.0
4647,Mình tối ngày bị ba má chửi vì vừa ăn cơm vừa xem siêu nhân đây nè. Mình cũng áp lực quá =((((,0,0,1.0
4648,[NAME] mình thì coi conan với lướt xem gái nhìu quá má cũng la 🥲🥲🥲,1,1,0.0
4649,"[NAME] trách ai bây giờ, trách mình hoi =)))",1,1,1.0
4650,[NAME] xem tí ăn ms ngon mừ 🥲🥲,2,2,0.0
4651,"[NAME] chơi đá ít thôi
[NAME] đánh răng phê dữ v:))))",2,2,1.0
4652,[NAME] ủa thiệt chớ hỏng có chơi đá,1,1,1.0
4653,"[NAME]....ai như mình, mấy câu chuyện riêng tư của mình tự dưng mẹ mình đen kể chuyện hết cho hàng xóm nghe, xong còn so sánh con nhà người ta này con nhà người khác nọ, rồi con trở thành phiên bản của người khác chứ ko phải là chính bản thân của mình 😢",1,1,1.0
4655,[NAME] ngày lễ về nhà chs mà bị mẹ lôi cây ra đập tại dành đồ chs của e 😢😢😢,1,1,0.0
4656,Lần sau nếu bạn có bị phạt thì nhắn tin mình nhé mình sẽ lắng nghe và tâm sự cùng bạn😜,1,1,0.0
4657,[NAME] Hải Quang Đạt Pham Le Hoang Anh đáng suy ngẫm,1,1,1.0
4658,[NAME] bạn để tôi làm ăn,1,1,1.0
4659,[NAME] lại đi kiếm gà để chăn à :)),2,2,1.0
4660,[NAME] đi lừa con nhà người ta z,1,1,1.0
4661,"Dù mình không biết bạn là ai, nhưng mình sẵn lòng lắng nghe tâm sự của bạn ib mình nhé.",1,1,1.0
4663,Mình cũng zay nè bame chửi hoài vì ngày nào cũng xách xe đi chơi tới khuya mới chịu về 😞,0,0,0.0
4664,"[NAME] chưa đấm cho là may, gặp t thì cút khỏi nhà nhé",1,1,1.0
4665,câu chuyện buồn ! có tính logic cao ! 10đ về chỗ !,0,0,1.0
4666,"mông bị phạt ấy, chứng tỏ phụ huynh quan tâm",1,1,0.0
4667,Như vậy để 21tuổi không phải trông bạn đi bơi,1,1,1.0
4668,"Bạn nhắn tin mình, mình sẽ lắng nghe !!!",1,1,1.0
4669,Câu chuyện nghe thật là cảm động và sâu sắc 🥲10 điểm 👏👏,1,1,0.0
4670,Đi làm đi sai lầm còn phạt nặng hơn cả gia pháp,1,1,0.0
4671,Giống thằng Bảo thế tính cả tuổi theo năm tháng,1,1,1.0
4672,"Thôi em gái đừng buồn, sau này kiếm thằng bồ quýnh nó bù cũng chưa muộn mà:)))))",1,1,1.0
4673,"Đã từng rồi hồi còn 19 cũng giống dị, ib hứa lắng nghe :v",1,1,1.0
4674,:))) tui hoàn cảnh y trên luôn,2,2,1.0
4675,Tien Nguyen Lê Huỳnh Như Quỳnh Giang Hà Phùng chời ơiiiii,1,1,1.0
4676,Ngọc Linh hội những đứa con mất dại,1,1,0.0
4677,"Làm ny anh nhe 🫶 , mốt hư anh dùng tay chứ không dùng roi đâu",1,1,1.0
4678,[NAME] [NAME] immemom,1,1,1.0
4679,[NAME] có người còn khó hơn nhà m kìa,1,1,1.0
4681,Bạn ra tín hiệu SOS đi bạn [NAME] của mình hứa dùng mỡ bụng đỡ roi dùm bạn đây,1,1,1.0
4682,[NAME] đỡ cả bạn ấy luôn còn đc chớ mỗi roi chưa là gì,1,1,1.0
4683,Nhất Duy bạn để tôi điều tra địa chỉ nhà :)) chuẩn bị chăn gối màn mùng gì đi r lên cổng nằm đợi nhé,2,2,2.0
4684,"[NAME] tôi có cuốn cả chiếu rồi đây, bạn mua thêm nhan muỗi hộ tôi cái",1,1,1.0
4685,Nhất Duy nhà tôi có 3 hộp đây bạn có cần thêm nhang khói để ngửi cho quen luôn k,1,1,1.0
4686,Mình cũng bị đánh…nhưng mà là đi net nên bị đánh😞,0,0,0.0
4688,[NAME] khuyên bạn bỏ nhà đi,0,0,1.0
4689,"thà sai mà bị đánh vào mông thì còn đỡ ấm ức, bạn tui [NAME] cứ đêm đêm là bị ny nó đè ra tét mông liên tục thấy thương lắm,dù k biết là sai ở đâu?? thử hỏi công bằng ở đâu cơ chứ ??",0,0,2.0
4690,Thiên Phúc gì nữa vậy bạn kkk,2,2,1.0
4691,coá tại đi chơi qua 10h :))),2,2,1.0
4692,Ai dc bị đòn đâu mà pit,1,1,1.0
4693,Việt Huỳnh gặp quýnh cho cái,1,1,1.0
4694,[NAME] tau trốn rồi,1,1,1.0
4695,Việt Huỳnh rồi sẽ phải gặppp thoii khà khà,1,1,1.0
4696,Ib tui để tâm sụ co dc kh,1,1,1.0
4697,"[NAME] j dãy a baaa, a ba cũng bị quánh đòn hả kkk",2,2,1.0
4698,Phương Linh ko ý là nghe tâm sự b đó th á,1,1,1.0
4699,[NAME] m tha cho con nhà ngta đi ba tài,1,1,1.0
4702,[NAME] m hả nhma nay m ghê r a:)) vài hôm nx cí khi bật lại má cx bên,2,2,1.0
4703,"Bị đánh 1 chỗ nhiều lần vẫn chưa khôn ra à =))) lấy cái gì lót vào mông để lúc bị đánh ko bị đau đi má. [NAME] bảo lúc đánh bị kéo cái quần xuống thấy rõ da nhé, cái đấy thì chịu thật =)))",0,0,1.0
4705,Thôi đừng khóc ! Bà nào viết bài này ib riêng tui! Hứa luôn lắng nghe,0,0,1.0
4706,"Rồi bạn cũng sẽ phải bay khỏi cái tổ ấm của mình thôi,dù là thích hay ko",2,2,2.0
4707,Chắc bạn này mông to lắm 😂,2,2,1.0
4708,"[NAME] hãy ib mình, mình sẽ chia sẻ với bạn",1,1,1.0
4710,"Me too🥲🥲🥲 t từ 7,5 ngày tụt còn 2,5 ngày bảo gửi chứng minh ai rảnh chụp:(( mà cx k nhớ chụp:(( thôi từ nay có gì là phải chụp hết😞",1,1,0.0
4711,Chuyện ko của riêng ai em ơi dần làm quen đi 😂,2,2,1.0
4713,Do e gà á chứ hông phải do e ko hiểu đâu,1,0,0.0
4714,Thanh Phong luật hoa quả kh chừa một ai,1,1,1.0
4715,[NAME] chỉ iem vs chứ em cx toang mấy ngày r anh ạ :>,1,0,0.0
4716,[NAME] em phải ranh ma vs đứa ghi công tác cho e chứ đừng nói vs thầy cô,1,1,1.0
4717,[NAME] sao lói em nó vậyy,1,1,1.0
4718,[NAME] tại em nó còn non quá,1,1,1.0
4719,[NAME] gòi để coi phong có bị mất ngày khong ha kk,1,0,0.0
4721,"Đồng quan điểm , bỏ công bỏ sức ra rồi nhưng không được công nhận 🥲",1,0,0.0
4722,"cho tới tháng trước tui mất 4 ngày, hiện tại là 6. Hỏi thầy kiểm lại thì: ""......"" . Rất tuyệt vời trường rất tuyệt với, từ hệ thống camera tới việc cập nhật excel và wi5, trường rất tuyệt vời, e cảm thấy thật tuyệt vời.",2,2,0.0
4723,[NAME] 2 em có ảnh chứng minh ko =))),1,1,1.0
4724,[NAME] chứng minh thư thì có,1,1,1.0
4725,:)))) đời mà đg rén đây méo hỉu lm j mà có đc 2 ngày rưỡi ít vãi,2,1,1.0
4726,[NAME] hoi có gì đâu buồn,0,0,1.0
4727,[NAME] hk hẵn mốt thấy t nhảy số h á :)))))) tại ko có tg thoai,2,2,1.0
4728,[NAME] kkk t nhảy chung với,2,2,1.0
4729,[NAME] đc lun :))))))),2,2,1.0
4730,Minh Châu quen thuộc zạ pà hâhhah,1,1,1.0
4731,Bảo Vy chuyện không của riêng ai :)),2,2,1.0
4732,"[NAME] có chứng minh, nhân chứng vẫn hong được cộng nè 😞",1,1,0.0
4733,Nỗi buồn không thể tả nổi,0,0,1.0
4734,Cái gì khó ra khó vào đều cần bôi trơn em nhé😗,1,1,1.0
4735,Đúm em làm nhìu mà có 3 ngày :)))🙄,2,2,1.0
4736,goi goi [NAME],1,1,1.0
4737,[NAME] nhớ di cái vụ halloween điểm danh cho cô rồi cũng như ko :)),2,2,1.0
4740,[NAME] hôm đó dầm mưa mấy tiếng t về sốt luôn m. [NAME],1,1,1.0
4741,[NAME]  hên t k tgia kkk,2,2,1.0
4742,Hồng Hạnh học gdtc bắt tgia. Mà vẫn ko hiểu sao lươn đc vậy cũng hay. Đến cả [NAME] theo dõi ngày ctxh cũng nói lạc mất haha,2,2,0.0
4743,[NAME]  😆😆😆 nhà dột từ nóc,1,1,1.0
4744,"[NAME] chụp hình cho đã đời. Tới lúc hỏi ổng ổng kêu ko có hình t 😀, hỏi có ai chứng minh là t có đi bữa đó. Kể tên bạn bè học chug môn gdtc nữa chứ. [NAME] hết sức, tức á=)))",1,1,1.0
4746,Ngọc DiễmNguyễn Quỳnh NhưBích [NAME] ẩu,1,1,1.0
4747,[NAME] ẩu thiệt,1,1,1.0
4748,Tran Le Anh [NAME],1,1,1.0
4750,Trọng Nhân m tính nói gì ở đây,1,1,1.0
4751,[NAME] a nóng làm j,1,1,1.0
4752,[NAME] mà năm ấy mình toàn chụp hình lại ko thì ối dồi ôi r 🤣,1,1,1.0
4754,[NAME] m chê bí thư m à hối chạy ctxh kh lo đi 🙂 g t đủ m đi đíu đâu,0,0,1.0
4756,[NAME] nín bao nhiêu sk t đề ra kh đi t nhập cho thì kh chịu nó mốt khỏi thông báo g,0,0,1.0
4757,[NAME] dờ đi nè cha 🤣,1,1,1.0
4759,[NAME]  🥹,1,1,1.0
4760,[NAME],1,1,1.0
4761,[NAME] toi ko bt nói gì hơn vì toi đã đủ 🙂,1,1,1.0
4762,[NAME] [NAME] đã làm là làm cho dư. Với lại ctxh được nhập hay không còn tùy vô cán bộ lớp kkkk,2,2,1.0
4763,[NAME] đúng vại,1,1,1.0
4764,Trường mình giờ tệ quá vại 😅,0,0,1.0
4765,[NAME],1,1,1.0
4766,[NAME] có gì lạ đâu 😌,1,1,1.0
4767,Cứ 5 lốp là đc nha em :)),2,2,1.0
4768,Uy Vũ 5 lốp là bao nhiêu,1,1,1.0
4770,Thân Hoàng tự nhiên mất ngày ctxh :))),2,1,0.0
4771,[NAME] chán không tả nổi,0,0,1.0
4772,Gần ra trường có 🌾 là đủ hết 🤣,1,1,1.0
